model,short_name,train_R2,train_MAE,train_RMSE,test_R2,test_MAE,test_RMSE,test_SMAPE,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_RMSE_std
Dummy Regressor,DummyRegressor,0.0,35.2083,42.0037,-0.0005,37.62,45.2184,74.5191,-0.078,0.1147,42.4998,5.5244
Ridge Regression,Ridge,0.2024,31.8997,37.5121,0.2227,32.6558,39.8562,69.5336,0.0493,0.2379,39.4326,6.2754
ElasticNet,ElasticNet,0.2013,31.9351,37.5393,0.2193,32.7891,39.9418,69.5962,0.0562,0.2193,39.3599,6.0794
SVR (RBF),SVR,0.4157,23.7496,32.1081,0.2336,30.0851,39.5742,63.9824,0.1722,0.2599,36.7844,8.1249
ANN Neural Network,ANN,0.9444,6.8108,9.9036,0.1837,30.9729,40.8441,71.8701,-0.2903,0.6674,44.2477,10.8513
Random Forest,RandomForest,0.9273,8.9004,11.3226,0.5138,23.6496,31.521,50.873,0.4684,0.2752,28.2894,10.5134
Gradient Boosting,GradientBoosting,0.9883,3.4981,4.5356,0.5638,22.8046,29.8567,46.9609,0.4456,0.278,28.9842,9.2315
AdaBoost,AdaBoost,0.6544,22.158,24.6943,0.353,30.6189,36.3614,67.8785,0.3313,0.2226,32.861,7.6008
XGBoost,XGBoost,0.9837,4.1665,5.3618,0.6005,22.1719,28.5744,46.8104,0.485,0.248,28.2658,9.7623
LightGBM,LightGBM,0.8,14.789,18.7845,0.4644,26.47,33.0851,52.9171,0.3986,0.3021,30.6315,10.6022
CatBoost,CatBoost,0.8894,11.5756,13.966,0.4995,24.5762,31.9817,55.3102,0.4164,0.2958,30.0581,10.5481
