test_sample_index,y_true,y_pred,top5_mean_displacement,top5_max_displacement,top5_min_displacement,top5_mean_similarity,similar_case_risk_hint
0,144.0,136.84004585387166,64.2,144.0,14.0,0.3346,相似案例响应处于常规范围
1,5.0,20.52213182227299,28.92,70.0,5.0,0.67417,相似案例响应处于常规范围
2,35.0,51.27815876619084,65.124,97.62,35.0,0.506383,相似案例响应处于常规范围
3,9.0,4.887399682328976,27.46,61.3,5.0,0.593052,相似案例响应处于常规范围
4,126.0,103.00030804468744,71.744,126.0,16.8,0.479179,相似案例响应处于常规范围
5,4.2,7.194133799839513,17.1,61.3,4.2,0.667483,相似案例响应处于常规范围
6,119.0,93.43476676619854,71.0,112.0,50.0,0.429984,相似案例响应处于常规范围
7,28.47,56.70838974796296,60.6,95.0,32.0,0.40727,相似案例响应处于常规范围
8,84.0,53.34751279591178,20.46,70.0,4.2,0.413488,相似案例响应处于常规范围
9,20.0,28.60338089763701,68.672,92.0,46.0,0.29503,相似案例响应处于常规范围
10,11.6,0.6413036278239788,6.84,11.6,4.2,0.558369,相似案例响应处于常规范围
11,6.2,14.579680352117888,24.22,68.0,6.4,0.501737,相似案例响应处于常规范围
12,95.0,108.0885130517539,61.4,95.0,23.0,0.453051,相似案例响应处于常规范围
13,47.0,43.611835343249545,25.8,39.0,13.0,0.350118,相似案例响应处于常规范围
14,69.0,22.78403856493286,27.6,39.0,14.0,0.383206,相似案例响应处于常规范围
15,45.0,57.30233649599138,46.8,92.0,14.0,0.40815,相似案例响应处于常规范围
16,13.0,36.13783734083492,51.8,126.0,13.0,0.443201,相似案例响应处于常规范围
17,142.0,110.57670732779494,70.68,136.0,6.4,0.24149,相似案例响应处于常规范围
18,61.3,69.46612176736186,78.96,120.0,42.0,0.353243,相似案例响应处于常规范围
19,33.0,33.87882138091169,72.2,150.0,14.0,0.406771,相似案例中存在高位移响应，建议重点复核
20,50.0,47.35845761899196,75.2,112.0,46.0,0.465304,相似案例响应处于常规范围
21,55.6,67.16082361654351,71.5,119.0,49.5,0.355797,相似案例响应处于常规范围
22,70.0,65.25663933152165,61.42,120.0,13.0,0.396992,相似案例响应处于常规范围
23,49.0,25.57372267954869,28.92,70.0,5.0,0.644505,相似案例响应处于常规范围
24,97.62,80.26203551553091,45.92,120.0,5.0,0.423995,相似案例响应处于常规范围
25,100.0,122.8552300554873,104.0,162.0,53.0,0.473906,相似案例中存在高位移响应，建议重点复核
26,74.8,69.3486528306032,73.42,124.3,38.0,0.541518,相似案例响应处于常规范围
27,50.0,50.08156289789627,65.724,97.62,35.0,0.235048,相似案例响应处于常规范围
28,10.0,17.860895905711388,65.6,162.0,10.0,0.445792,相似案例中存在高位移响应，建议重点复核
29,7.2,5.422116530020106,6.86,11.6,4.2,0.562213,相似案例响应处于常规范围
30,52.0,49.70546261487234,35.184,97.62,5.0,0.48353,相似案例响应处于常规范围
31,136.0,141.7881287075852,76.41,162.0,18.05,0.245147,相似案例中存在高位移响应，建议重点复核
32,75.0,101.58017865118345,93.724,120.0,66.0,0.333587,相似案例响应处于常规范围
33,5.7,4.000894735128254,5.18,5.8,4.5,0.531301,相似案例响应处于常规范围
34,30.0,45.69153996322138,47.16,76.0,16.8,0.520884,相似案例响应处于常规范围
35,150.0,149.4613543506608,106.8,150.0,53.0,0.395085,相似案例中存在高位移响应，建议重点复核
