id,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement
15,0.0,10.1,29.24,37.05,200.0,5.8,1.32,1.25,226.1
16,1.0,16.0,36.77,54.62,549.0,4.5,0.53,2.67,416.0
68,0.0,7.5,17.5,54.76,157.0,4.2,0.56,1.88,210.0
84,0.0,7.0,21.0,16.65,498.0,5.5,0.64,5.0,231.0
127,1.0,10.3,15.0,37.68,800.0,5.0,0.72,5.0,300.0
141,0.0,9.6,45.9,23.32,660.0,5.0,0.64,3.13,348.3
142,1.0,11.03,26.7,51.35,470.0,5.0,0.9,3.0,305.0
143,1.0,15.0,62.0,59.08,403.0,4.0,0.64,1.88,268.0
151,0.0,15.77,32.08,47.84,423.0,3.8,0.72,1.11,454.0
152,0.0,13.58,33.5,73.49,455.0,5.2,0.8,1.5,305.0
164,1.0,11.0,27.67,51.57,700.0,4.5,0.64,2.5,326.0
192,1.0,10.94,24.56,49.48,704.0,3.85,0.64,1.25,248.0
194,0.0,11.17,22.05,43.08,620.0,4.6,0.64,1.25,220.0
199,0.0,6.64,24.31,65.48,348.0,4.0,0.9,1.0,370.0
